head,left,right,winner,sampler,score,puid,response_time,network_latency,time_received,loser,left_html,right_html,head_html,winner_html,loser_html,left_filename,right_filename,head_filename,winner_filename,loser_filename,time_received_since_start,datetime_received,start_time
56,5,44,5,Random,-9999,31234b14a6ab693e,8.397000074386597,0.3339998722076416,1644963224.785,44,<img src='/static/targets/1-3-2.png' />,<img src='/static/targets/3-7-1.png' />,<img src='/static/targets/4-5-1.png' />,<img src='/static/targets/1-3-2.png' />,<img src='/static/targets/3-7-1.png' />,1-3-2.png,3-7-1.png,4-5-1.png,1-3-2.png,3-7-1.png,913.4863755702972,2022-02-15T22:13:44.785000,1644962311.2986245
53,20,26,20,Random,-9999,31234b14a6ab693e,9.11899995803833,0.2330000400543213,1644963234.13,26,<img src='/static/targets/2-3-1.png' />,<img src='/static/targets/2-6-1.png' />,<img src='/static/targets/4-3-2.png' />,<img src='/static/targets/2-3-1.png' />,<img src='/static/targets/2-6-1.png' />,2-3-1.png,2-6-1.png,4-3-2.png,2-3-1.png,2-6-1.png,922.8313755989075,2022-02-15T22:13:54.130000,1644962311.2986245
7,48,40,48,Random,-9999,31234b14a6ab693e,2.1540000438690186,0.23000001907348633,1644963236.518,40,<img src='/static/targets/4-1-1.png' />,<img src='/static/targets/3-5-1.png' />,<img src='/static/targets/1-4-2.png' />,<img src='/static/targets/4-1-1.png' />,<img src='/static/targets/3-5-1.png' />,4-1-1.png,3-5-1.png,1-4-2.png,4-1-1.png,3-5-1.png,925.219375371933,2022-02-15T22:13:56.518000,1644962311.2986245
37,43,48,43,Validation,1,31234b14a6ab693e,1.1319999694824219,0.22799992561340332,1644963237.764,48,<img src='/static/targets/3-6-2.png' />,<img src='/static/targets/4-1-1.png' />,<img src='/static/targets/3-3-2.png' />,<img src='/static/targets/3-6-2.png' />,<img src='/static/targets/4-1-1.png' />,3-6-2.png,4-1-1.png,3-3-2.png,3-6-2.png,4-1-1.png,926.4653754234314,2022-02-15T22:13:57.764000,1644962311.2986245
31,51,16,16,Random,-9999,31234b14a6ab693e,2.4140000343322754,0.11400008201599121,1644963240.414,51,<img src='/static/targets/4-2-2.png' />,<img src='/static/targets/2-1-1.png' />,<img src='/static/targets/2-8-2.png' />,<img src='/static/targets/2-1-1.png' />,<img src='/static/targets/4-2-2.png' />,4-2-2.png,2-1-1.png,2-8-2.png,2-1-1.png,4-2-2.png,929.1153755187988,2022-02-15T22:14:00.414000,1644962311.2986245
2,21,37,37,Random,-9999,31234b14a6ab693e,3.2039999961853027,0.23600006103515625,1644963243.848,21,<img src='/static/targets/2-3-2.png' />,<img src='/static/targets/3-3-2.png' />,<img src='/static/targets/1-2-1.png' />,<img src='/static/targets/3-3-2.png' />,<img src='/static/targets/2-3-2.png' />,2-3-2.png,3-3-2.png,1-2-1.png,3-3-2.png,2-3-2.png,932.5493755340576,2022-02-15T22:14:03.848000,1644962311.2986245
63,4,22,4,Random,-9999,31234b14a6ab693e,1.9700000286102295,0.22999978065490723,1644963246.077,22,<img src='/static/targets/1-3-1.png' />,<img src='/static/targets/2-4-1.png' />,<img src='/static/targets/4-8-2.png' />,<img src='/static/targets/1-3-1.png' />,<img src='/static/targets/2-4-1.png' />,1-3-1.png,2-4-1.png,4-8-2.png,1-3-1.png,2-4-1.png,934.7783753871918,2022-02-15T22:14:06.077000,1644962311.2986245
47,50,4,4,Random,-9999,31234b14a6ab693e,3.753999948501587,0.254000186920166,1644963250.049,50,<img src='/static/targets/4-2-1.png' />,<img src='/static/targets/1-3-1.png' />,<img src='/static/targets/3-8-2.png' />,<img src='/static/targets/1-3-1.png' />,<img src='/static/targets/4-2-1.png' />,4-2-1.png,1-3-1.png,3-8-2.png,1-3-1.png,4-2-1.png,938.7503755092621,2022-02-15T22:14:10.049000,1644962311.2986245
19,59,21,21,Random,-9999,31234b14a6ab693e,4.799999952316284,0.22499990463256836,1644963255.085,59,<img src='/static/targets/4-6-2.png' />,<img src='/static/targets/2-3-2.png' />,<img src='/static/targets/2-2-2.png' />,<img src='/static/targets/2-3-2.png' />,<img src='/static/targets/4-6-2.png' />,4-6-2.png,2-3-2.png,2-2-2.png,2-3-2.png,4-6-2.png,943.7863755226135,2022-02-15T22:14:15.085000,1644962311.2986245
62,5,55,55,Random,-9999,31234b14a6ab693e,6.901000022888184,0.2350001335144043,1644963262.219,5,<img src='/static/targets/1-3-2.png' />,<img src='/static/targets/4-4-2.png' />,<img src='/static/targets/4-8-1.png' />,<img src='/static/targets/4-4-2.png' />,<img src='/static/targets/1-3-2.png' />,1-3-2.png,4-4-2.png,4-8-1.png,4-4-2.png,1-3-2.png,950.920375585556,2022-02-15T22:14:22.219000,1644962311.2986245
