sketch_id,category,target,condition,label,num_strokes
0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_11,chair,squat,further,armrest,1
0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_11,chair,squat,further,backrest,8
0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_11,chair,squat,further,leg,3
0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_11,chair,squat,further,seat,2
0834-74e58d84-5f2f-4ffd-8df3-e32076ea5aa1_15,bird,bluejay,further,body,1
0834-74e58d84-5f2f-4ffd-8df3-e32076ea5aa1_15,bird,bluejay,further,eye,2
0834-74e58d84-5f2f-4ffd-8df3-e32076ea5aa1_15,bird,bluejay,further,feet,5
0834-74e58d84-5f2f-4ffd-8df3-e32076ea5aa1_15,bird,bluejay,further,leg,2
0834-74e58d84-5f2f-4ffd-8df3-e32076ea5aa1_18,chair,knob,further,armrest,4
0834-74e58d84-5f2f-4ffd-8df3-e32076ea5aa1_18,chair,knob,further,backrest,2
0834-74e58d84-5f2f-4ffd-8df3-e32076ea5aa1_18,chair,knob,further,leg,4
0834-74e58d84-5f2f-4ffd-8df3-e32076ea5aa1_18,chair,knob,further,seat,2
0834-74e58d84-5f2f-4ffd-8df3-e32076ea5aa1_29,bird,tomtit,closer,beak,3
0834-74e58d84-5f2f-4ffd-8df3-e32076ea5aa1_29,bird,tomtit,closer,body,3
0834-74e58d84-5f2f-4ffd-8df3-e32076ea5aa1_29,bird,tomtit,closer,feet,3
0834-74e58d84-5f2f-4ffd-8df3-e32076ea5aa1_29,bird,tomtit,closer,head,2
0834-74e58d84-5f2f-4ffd-8df3-e32076ea5aa1_29,bird,tomtit,closer,wing,4
0834-74e58d84-5f2f-4ffd-8df3-e32076ea5aa1_5,bird,nightingale,closer,beak,1
0834-74e58d84-5f2f-4ffd-8df3-e32076ea5aa1_5,bird,nightingale,closer,body,3
0834-74e58d84-5f2f-4ffd-8df3-e32076ea5aa1_5,bird,nightingale,closer,eye,1
0834-74e58d84-5f2f-4ffd-8df3-e32076ea5aa1_5,bird,nightingale,closer,feet,4
0834-74e58d84-5f2f-4ffd-8df3-e32076ea5aa1_5,bird,nightingale,closer,head,2
0834-74e58d84-5f2f-4ffd-8df3-e32076ea5aa1_5,bird,nightingale,closer,wing,1
1593-3cebc49a-ef16-451d-a5a9-aad9b5ac4695_18,bird,pigeon,closer,beak,1
1593-3cebc49a-ef16-451d-a5a9-aad9b5ac4695_18,bird,pigeon,closer,body,1
1593-3cebc49a-ef16-451d-a5a9-aad9b5ac4695_18,bird,pigeon,closer,eye,1
1593-3cebc49a-ef16-451d-a5a9-aad9b5ac4695_18,bird,pigeon,closer,feet,2
1593-3cebc49a-ef16-451d-a5a9-aad9b5ac4695_18,bird,pigeon,closer,tail,2
1593-3cebc49a-ef16-451d-a5a9-aad9b5ac4695_18,bird,pigeon,closer,wing,1
1593-3cebc49a-ef16-451d-a5a9-aad9b5ac4695_23,bird,crow,closer,beak,4
